"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",31,-0.883328120112606,-3.52636536747759,8.60770849544588e-20,1.73014940758462e-17,1.49804330306707e-17,405,"tags=100%, list=13%, signal=88%","RPL4/RPS16/RPL18/RPS4X/RPL36/RPLP0/RPS17/RPL27/RPS8/RPL3/RPL19/RPS3A/RPLP1/RPL12/RPL30/RPL17/RPL7A/RPL23A/RPS28/RPS21/RPL35/RPL34/RPS27A/UBA52/RPL14/RPL24/RPS19/RPS26/RPL32/RPL31"
"KEGG_RIBOSOME","KEGG_RIBOSOME",31,-0.883328120112606,-3.52636536747759,8.60770849544588e-20,1.73014940758462e-17,1.49804330306707e-17,405,"tags=100%, list=13%, signal=88%","RPL4/RPS16/RPL18/RPS4X/RPL36/RPLP0/RPS17/RPL27/RPS8/RPL3/RPL19/RPS3A/RPLP1/RPL12/RPL30/RPL17/RPL7A/RPL23A/RPS28/RPS21/RPL35/RPL34/RPS27A/UBA52/RPL14/RPL24/RPS19/RPS26/RPL32/RPL31"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",33,-0.869789537158577,-3.5248223246249,4.59856380298715e-20,1.73014940758462e-17,1.49804330306707e-17,405,"tags=97%, list=13%, signal=86%","RPSA/RPL4/RPS16/RPL18/RPS4X/RPL36/RPLP0/RPS17/RPL27/RPS8/RPL3/RPL19/RPS3A/RPLP1/EEF2/RPL12/RPL30/RPL17/RPL7A/RPL23A/RPS28/RPS21/RPL35/RPL34/RPS27A/UBA52/RPL14/RPL24/RPS19/RPS26/RPL32/RPL31"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",42,-0.721833788216875,-3.0773308018658,8.78657470363616e-13,1.32457613657315e-10,1.14687922447461e-10,405,"tags=81%, list=13%, signal=72%","RPSA/RPL4/RPS16/RPL18/RPS4X/RPL36/RPLP0/RPS17/RPL27/SSR4/RPS8/RPL3/RPL19/RPS3A/RPLP1/RPL12/RPL30/RPL17/RPL7A/RPL23A/RPS28/RPS21/RPL35/RPL34/SEC61B/RPS27A/UBA52/SRPRA/RPL14/RPL24/RPS19/RPS26/RPL32/RPL31"
"REACTOME_INNATE_IMMUNE_SYSTEM","REACTOME_INNATE_IMMUNE_SYSTEM",382,0.512177553081958,1.62156866316894,1.67939150000047e-12,2.02534614900056e-10,1.75363828210575e-10,733,"tags=39%, list=23%, signal=34%","C1QA/C1QB/ITGAM/C3AR1/FCGR1A/VNN1/CD68/CTSS/CYBB/TLR7/FABP5/ADA2/CFD/CTSB/STING1/TLR8/CTSZ/CREG1/RETN/CLEC6A/CD14/CTSK/ITGB2/CSTB/ALOX5/PYCARD/TREM2/VAV3/GM2A/LGMN/LAT2/BTK/UNC93B1/NCKAP1L/HMOX1/CYBA/ASAH1/PLAUR/NLRP3/GRN/ATP6V0A1/GAA/TLR2/TCIRG1/FTH1/PIK3R1/PSAP/ADAM8/MAN2B1/CHI3L1/IQGAP2/CTSD/IRAK2/PLD3/PTPN6/CTSA/SYK/CTSH/PRCP/LYN/STK11IP/NPC2/NCF4/DPP7/PDXK/RIPK2/VAV1/GLA/CTSC/GNS/LGALS3/NLRP1/CLEC7A/AP2A2/FUCA1/GSDMD/RPS6KA5/COMMD9/NCF2/NCF1/ATP6V1B2/CPPED1/NFAM1/IL1B/PSTPIP1/RPS6KA2/C5AR2/C5AR1/BAIAP2/ATP6V0B/ATP6AP2/DUSP6/BRI3/ATP6V1A/PIK3CB/CD44/AGPAT2/ABL1/CLEC4D/GMFG/BCL10/SLC15A4/RHOG/ATP6V1C1/ATP6V1H/LY96/IDH1/DBNL/ATP6V1E1/CMTM6/TNFAIP3/SCAMP1/SDCBP/FGR/PLAU/CARD9/PLD1/LAMTOR2/LAMTOR3/LAMP1/LAMP2/PAK1/ADGRE5/RPS6KA1/WAS/MEF2C/HCK/MAPKAPK2/BIN2/ATP6V0D1/CYSTM1/TSPAN14/RAB7A/ARSA/ATP6V1F/CDA/STK10/GYG1/MGST1/CAT/FUCA2/TBK1/PRKCD/VPS35L/LAMTOR1/TNIP2/CNPY3/RAP2B/SERPINB1"
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",34,-0.74891829466192,-3.05550321222422,2.46894548600596e-11,2.48129021343599e-09,2.14841572115607e-09,405,"tags=91%, list=13%, signal=81%","RPSA/RPL4/RPS16/RPL18/RPS4X/RPL36/RPLP0/RPS17/RPL27/RPS8/RPL3/RPL19/RPS3A/RPLP1/RPL12/RPL30/RPL17/RPL7A/RPL23A/RPS28/RPS21/RPL35/RPL34/RPS27A/UBA52/RPL14/RPL24/RPS19/RPS26/RPL32/RPL31"
"KEGG_LYSOSOME","KEGG_LYSOSOME",71,0.684948315188853,2.01553675821418,1.70430161976087e-10,1.46813410959401e-08,1.27117835097954e-08,680,"tags=66%, list=21%, signal=53%","CD68/CTSS/ACP5/CTSB/CTSZ/CTSK/LIPA/DNASE2/PPT1/GM2A/LGMN/TPP1/ASAH1/AP1S3/ATP6V0A1/GAA/HEXA/TCIRG1/PSAP/MAN2B1/CTSD/CTSA/SGSH/CTSH/NPC2/NAGPA/SORT1/GLA/CTSC/GNS/LAPTM5/FUCA1/GNPTAB/AP1B1/ATP6V0B/ATP6AP1/NAGA/ATP6V1H/GBA1/SCARB2/LAMP1/LAMP2/NAGLU/ATP6V0D1/AP3D1/ARSA/GGA2"
"REACTOME_NEUTROPHIL_DEGRANULATION","REACTOME_NEUTROPHIL_DEGRANULATION",208,0.543369903972488,1.69202393793605,4.71091015502488e-10,3.55084852935e-08,3.07448873275308e-08,733,"tags=44%, list=23%, signal=37%","ITGAM/C3AR1/VNN1/CD68/CTSS/CYBB/FABP5/ADA2/CFD/CTSB/STING1/CTSZ/CREG1/RETN/CD14/ITGB2/CSTB/ALOX5/PYCARD/GM2A/NCKAP1L/CYBA/ASAH1/PLAUR/GRN/ATP6V0A1/GAA/TLR2/TCIRG1/FTH1/PSAP/ADAM8/MAN2B1/CHI3L1/IQGAP2/CTSD/PTPN6/CTSA/CTSH/PRCP/STK11IP/NPC2/DPP7/PDXK/GLA/CTSC/GNS/LGALS3/AP2A2/FUCA1/GSDMD/COMMD9/CPPED1/NFAM1/C5AR1/ATP6AP2/BRI3/CD44/AGPAT2/CLEC4D/GMFG/SLC15A4/RHOG/IDH1/DBNL/CMTM6/SCAMP1/SDCBP/FGR/PLAU/PLD1/LAMTOR2/LAMTOR3/LAMP1/LAMP2/ADGRE5/BIN2/CYSTM1/TSPAN14/RAB7A/ARSA/CDA/STK10/GYG1/MGST1/CAT/FUCA2/PRKCD/VPS35L/LAMTOR1/RAP2B/SERPINB1"
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",33,-0.685274855647696,-2.77707653000972,2.72926091530708e-09,1.82860481325574e-07,1.58329054268107e-07,405,"tags=94%, list=13%, signal=83%","RPSA/RPL4/RPS16/RPL18/RPS4X/RPL36/RPLP0/RPS17/RPL27/RPS8/RPL3/RPL19/RPS3A/RPLP1/RPL12/RPL30/RPL17/RPL7A/RPL23A/RPS28/RPS21/RPL35/RPL34/RPS27A/UBA52/RPL14/RPL24/RPS19/RPS26/RPL32/RPL31"
"WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY","WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY",26,0.803057629141093,2.10127692641865,8.50896451804056e-09,5.13090560437846e-07,4.44257515889276e-07,440,"tags=77%, list=14%, signal=67%","C1QA/C1QB/ITGAM/FCGR1A/CYBB/ITGB2/TREM2/VAV3/NCKAP1L/CYBA/PIK3R1/PIK3CG/PTPN6/SYK/LYN/NCF4/VAV1/NCF2/NCF1/PIK3CB"
