"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_INNATE_IMMUNE_SYSTEM","REACTOME_INNATE_IMMUNE_SYSTEM",228,-0.370213493666327,-2.27015434425761,3.43892052891096e-13,1.27583951622597e-10,1.07149523848173e-10,572,"tags=50%, list=25%, signal=42%","ARPC1B/ARSB/ARPC5/DHX9/MAPK1/STAT6/ROCK1/NFKB2/VPS35L/PSME4/DBNL/DNAJC13/ATG7/UBE2D2/LAMTOR2/PIK3CA/MAP2K1/ARPC3/ATP7A/PSMB8/ARPC4/RELB/FOS/CST3/RAP2B/CDC42/RNF216/CAT/RAB7A/CDK13/ARL8A/CD81/CAPZA1/SDCBP/BCL10/CYSTM1/CD63/LAMTOR1/PRCP/ACTR3/ATP11B/CNPY3/CD47/CYLD/SOS1/MYO9B/NFKB1/ATP6V0D1/IFIH1/LAMP2/ATP6V1E1/SCAMP1/GNS/TXNIP/NFKBIA/RAP1A/UBE2D1/CMTM6/ACTR2/ATP6V1B2/BIRC3/MAPKAPK2/ATP6V0B/NPC2/RIPK1/CTSC/STK10/RAF1/MEF2C/PLD1/RHOG/PLD3/CAB39/AP2A2/C1R/TBK1/CTSA/ABL1/DNM2/GRN/CARD9/PSAP/BCL2/ATP6V1C1/DPP7/ATP6V1A/DUSP6/ATP6AP2/MAPK14/BRI3/CTSH/MAN2B1/PSEN1/CTSD/GM2A/ADGRE5/COTL1/ASAH1/TNFAIP3/RPS6KA5/LGMN/FTH1/TNFRSF1B/CREG1/IRAK2/CSTB/TANK/LGALS3/CD14/CTSZ/PIK3R1/CD44/CTSK/CTSB/C1QA"
"KEGG_LYSOSOME","KEGG_LYSOSOME",43,-0.610622867569546,-2.79032270624224,4.00239736940865e-09,7.42444712025304e-07,6.23531379655242e-07,309,"tags=53%, list=14%, signal=47%","ATP6V0D1/LAMP2/SLC17A5/GNS/ATP6AP1/ATP6V0B/NPC2/CTSC/CTSA/HEXA/PSAP/LAPTM5/CTSH/MAN2B1/CTSD/GM2A/ASAH1/PPT1/LGMN/LIPA/CTSZ/CTSK/CTSB"
"REACTOME_TOLL_LIKE_RECEPTOR_CASCADES","REACTOME_TOLL_LIKE_RECEPTOR_CASCADES",43,-0.545278531903194,-2.49172304150995,9.18792466767456e-07,0.000113624001723575,9.54254632151463e-05,225,"tags=40%, list=10%, signal=36%","NFKBIA/UBE2D1/BIRC3/MAPKAPK2/RIPK1/MEF2C/TBK1/DNM2/DUSP6/MAPK14/RPS6KA5/LGMN/IRAK2/TANK/CD14/CTSK/CTSB"
"REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE","REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE",33,-0.589632632913964,-2.51681094339775,1.55790217430671e-06,0.000144495426666947,0.000121352379893365,622,"tags=73%, list=28%, signal=53%","CREB1/TRAF3/CUL1/FBXW11/MEF2A/MAPK1/NFKB2/UBE2D2/MAP2K1/FOS/NFKB1/NFKBIA/UBE2D1/BIRC3/MAPKAPK2/RIPK1/MEF2C/TBK1/DUSP6/MAPK14/RPS6KA5/IRAK2/TANK/CD14"
"REACTOME_NEUTROPHIL_DEGRANULATION","REACTOME_NEUTROPHIL_DEGRANULATION",122,-0.355109686811789,-1.98846479437533,3.68901960586749e-06,0.000273725254755368,0.000229884169123532,458,"tags=42%, list=20%, signal=35%","CST3/RAP2B/CAT/RAB7A/CDK13/ARL8A/SDCBP/CYSTM1/CD63/LAMTOR1/PRCP/ATP11B/CD47/NFKB1/LAMP2/SCAMP1/GNS/RAP1A/CMTM6/ACTR2/NPC2/CTSC/STK10/PLD1/RHOG/CAB39/AP2A2/CTSA/GRN/PSAP/DPP7/ATP6AP2/MAPK14/BRI3/CTSH/MAN2B1/PSEN1/CTSD/GM2A/ADGRE5/COTL1/ASAH1/FTH1/TNFRSF1B/CREG1/CSTB/LGALS3/CD14/CTSZ/CD44/CTSB"
"REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE","REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE",28,-0.515480413232093,-2.10241516085822,0.000337666972188142,0.0139193829646445,0.0116899910839404,622,"tags=61%, list=28%, signal=45%","CREB1/CUL1/FBXW11/MEF2A/MAPK1/NFKB2/MAP2K1/FOS/NFKB1/NFKBIA/MAPKAPK2/MEF2C/DUSP6/MAPK14/RPS6KA5/IRAK2/CD14"
"WP_HIPPO_SIGNALING_REGULATION_PATHWAYS","WP_HIPPO_SIGNALING_REGULATION_PATHWAYS",27,0.670854142984518,1.91665141213013,0.000308002132322455,0.0139193829646445,0.0116899910839404,344,"tags=41%, list=15%, signal=35%","MET/TEK/CDH5/KDR/PLCB4/CDH13/FLT1/WWTR1/TCF7L1/PLCB3/SMAD3"
"WP_IL_24_SIGNALING_PATHWAY","WP_IL_24_SIGNALING_PATHWAY",54,-0.385673154692208,-1.85976339566021,0.000334026647144261,0.0139193829646445,0.0116899910839404,225,"tags=31%, list=10%, signal=29%","NFKBIA/MAPKAPK2/EIF2AK3/JAK1/MMP14/BCL2/GPX1/MAPK14/CFLAR/SOD2/MAP3K2/TNFRSF1B/CD14/PIK3R1/CD44/CTSB/CXCL8"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",82,0.519649205088155,1.73138239795043,0.000322751928703058,0.0139193829646445,0.0116899910839404,361,"tags=43%, list=16%, signal=37%","VWF/ITGB4/KDR/ADAMTS1/JAM2/COL21A1/ITGA3/ADAM15/SERPINE1/F11R/COL18A1/ADAMTS3/HSPG2/NTN4/PECAM1/CTSV/EFEMP1/LTBP1/MFAP5/TNXB/ITGA5/CAPN5/LAMA5/PLOD3/DAG1/FGF2/ELN/COL8A1/COL12A1/LTBP2/NID2/COL25A1/LAMA4/LTBP4/LAMC1"
"REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE","REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE",26,-0.53752404840751,-2.14580318434851,0.000390644697866966,0.0144929182908644,0.0121716663756444,622,"tags=65%, list=28%, signal=48%","CREB1/CUL1/FBXW11/MEF2A/MAPK1/NFKB2/MAP2K1/FOS/NFKB1/NFKBIA/MAPKAPK2/MEF2C/DUSP6/MAPK14/RPS6KA5/IRAK2/CD14"
