"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",5.10763404597073e-96,6.12062660555153,0.755,0.042,9.93741279984064e-92,"Fibroblasts","PLXDC1"
"2",3.84846282334597e-87,6.04118091258939,0.765,0.061,7.48756926910192e-83,"Fibroblasts","PDGFRA"
"3",1.95048641991354e-83,4.95621829667195,0.939,0.148,3.79486637858379e-79,"Fibroblasts","MXRA5"
"4",6.02588183243039e-80,6.58420004052509,0.724,0.06,1.17239556931766e-75,"Fibroblasts","SERPINF1"
"5",3.82269507784321e-79,4.35393248940625,0.939,0.163,7.43743554345176e-75,"Fibroblasts","ISLR"
"6",1.34289768399714e-75,4.46974758080865,0.929,0.163,2.61274173398483e-71,"Fibroblasts","C1S"
"7",4.7839031293101e-74,4.15815622093627,0.878,0.13,9.30756192838574e-70,"Fibroblasts","TSHZ2"
"8",3.67215672810832e-73,5.57166413160986,0.969,0.255,7.14454813020754e-69,"Fibroblasts","DCN"
"9",8.04425190163707e-73,3.90491767642914,0.98,0.204,1.56508964998251e-68,"Fibroblasts","BICC1"
"10",2.39708956564672e-71,5.14784177792858,0.99,0.303,4.66377745892226e-67,"Fibroblasts","LUM"
"11",1.70315511733943e-70,4.03550749204304,0.908,0.168,3.3136585962956e-66,"Fibroblasts","FGF7"
"12",1.27916507387053e-69,4.19381072024359,0.929,0.192,2.4887435677225e-65,"Fibroblasts","MXRA8"
"13",3.10227765298881e-69,3.31507201909811,0.99,0.233,6.03579140165502e-65,"Fibroblasts","PRRX1"
"14",6.70824340633959e-68,4.05715565307122,1,0.3,1.30515583713743e-63,"Fibroblasts","COL6A3"
"15",6.23823082051572e-66,4.25649593470114,0.786,0.108,1.21371018843954e-61,"Fibroblasts","EDNRA"
"16",4.43987488187012e-115,6.4100174018347,0.83,0.088,8.6382205701665e-111,"Endothelial Cells","PTPRB"
"17",3.27576533336069e-113,5.67316637976095,0.804,0.066,6.37332903258655e-109,"Endothelial Cells","MMRN2"
"18",1.01224430626675e-112,6.92104074861651,0.848,0.115,1.9694225222726e-108,"Endothelial Cells","BMPER"
"19",5.35861837302409e-112,5.70152732550751,0.774,0.048,1.04257279065557e-107,"Endothelial Cells","MYCT1"
"20",9.92129152518266e-112,6.94972734279626,0.809,0.083,1.93028647913954e-107,"Endothelial Cells","ADGRL4"
"21",4.2630477291398e-110,5.96568197018633,0.826,0.101,8.2941856618144e-106,"Endothelial Cells","TEK"
"22",6.28836542644011e-106,5.39951578131315,0.778,0.071,1.22346437736819e-101,"Endothelial Cells","CDH5"
"23",1.14236377285579e-105,6.11079325134879,0.748,0.053,2.22258295646822e-101,"Endothelial Cells","TFPI"
"24",1.469834942704e-103,6.02266117544434,0.83,0.139,2.8597108645249e-99,"Endothelial Cells","NOS3"
"25",2.74910354946425e-103,5.58776450310275,0.77,0.074,5.34865586583764e-99,"Endothelial Cells","SOX18"
"26",1.10406756508927e-102,5.23941980064537,0.774,0.08,2.14807385463769e-98,"Endothelial Cells","ITGB4"
"27",7.06528887470326e-99,4.92653820611405,0.722,0.048,1.37462260346227e-94,"Endothelial Cells","CBLN4"
"28",5.51923721490676e-98,5.37000854062632,0.765,0.087,1.07382279253226e-93,"Endothelial Cells","GALNT18"
"29",3.4670103428657e-96,6.26654382446238,0.661,0.029,6.7454153230795e-92,"Endothelial Cells","JAG2"
"30",1.04378187964608e-94,6.99261279408471,0.648,0.029,2.03078202503941e-90,"Endothelial Cells","TM4SF18"
"31",1.12639219682016e-110,4.45557153352081,0.899,0.059,2.1915086581333e-106,"SMCs","IRAG1"
"32",1.27763431966086e-108,4.32375946569543,0.817,0.036,2.48576533233216e-104,"SMCs","NGF"
"33",2.1539884211899e-106,4.86121868609586,0.862,0.062,4.19079987226707e-102,"SMCs","SBSPON"
"34",9.25891003434839e-103,5.73646657781803,0.862,0.072,1.80141353628282e-98,"SMCs","CNN1"
"35",1.04661155044895e-100,5.02441424592574,0.826,0.055,2.03628743255347e-96,"SMCs","TRPC4"
"36",3.86966348374664e-100,4.27965000866635,0.862,0.067,7.52881727397745e-96,"SMCs","LMOD1"
"37",1.3578630317939e-98,4.13566563205697,0.862,0.062,2.6418583146582e-94,"SMCs","FBN2"
"38",2.5407341036102e-95,4.3961621476945,1,0.17,4.943252271984e-91,"SMCs","MYH11"
"39",5.79197020855967e-94,4.29117824454687,0.991,0.152,1.12688572377737e-89,"SMCs","SYNPO2"
"40",1.2663112744054e-93,5.20130054683026,0.835,0.074,2.46373521548315e-89,"SMCs","GRIP1"
"41",2.59273084452881e-92,5.59388605653008,0.624,0.016,5.04441713111526e-88,"SMCs","WDR86"
"42",7.14111379712674e-91,5.35338103439742,0.734,0.046,1.38937510036898e-86,"SMCs","TTC29"
"43",4.12012260092647e-89,3.87203274149306,0.963,0.132,8.01611053236254e-85,"SMCs","NOTCH3"
"44",5.82358186122361e-85,3.77566932613435,0.725,0.046,1.13303608691967e-80,"SMCs","GPR63"
"45",9.2717375195155e-84,5.76378039509884,0.716,0.048,1.80390925179694e-79,"SMCs","SEMA5A"
"46",7.43251354211744e-140,5.08520148260641,0.966,0.135,1.44606983475437e-135,"Macrophages","MSR1"
"47",8.91129012475808e-140,4.9611446605935,0.942,0.087,1.73378060667293e-135,"Macrophages","ITGAM"
"48",7.91378707527026e-136,4.00034316622657,0.997,0.208,1.53970641336458e-131,"Macrophages","AIF1"
"49",1.15722595196856e-135,4.26008145524054,0.955,0.098,2.25149881215002e-131,"Macrophages","CYBB"
"50",8.81877428141627e-133,4.61311948709562,0.966,0.125,1.71578072419235e-128,"Macrophages","PKIB"
"51",5.22200473961909e-132,4.16154128564672,0.921,0.069,1.01599324214029e-127,"Macrophages","TFEC"
"52",2.1659290422952e-129,4.47438262564368,0.986,0.265,4.21403154468954e-125,"Macrophages","CD68"
"53",3.03889837756595e-127,4.16047675385891,0.904,0.08,5.91248068339231e-123,"Macrophages","LRRC25"
"54",1.51727868387799e-125,4.00305375351903,0.973,0.201,2.95201740735302e-121,"Macrophages","HLA-DMB"
"55",2.52301083760394e-124,5.46930187806656,0.897,0.096,4.90876988564223e-120,"Macrophages","FOLR2"
"56",3.3443604133916e-124,2.76221802645631,0.952,0.107,6.5067876202947e-120,"Macrophages","RBM47"
"57",2.16208459298287e-123,3.38420241698654,0.983,0.165,4.20655178410747e-119,"Macrophages","CD86"
"58",9.68327204904523e-123,5.40530974442526,0.908,0.109,1.88397740986224e-118,"Macrophages","MRC1"
"59",1.26324739080863e-122,4.44297858163656,0.997,0.486,2.45777412355727e-118,"Macrophages","CTSS"
"60",2.19419787411135e-122,3.34550944270798,1,0.23,4.26903138387103e-118,"Macrophages","CSF1R"
"61",1.8930152214942e-73,8.72578788109077,0.553,0.012,3.68305041493911e-69,"Neutrophils","CSF3R"
"62",4.27026335625041e-43,6.64795276016051,0.681,0.079,8.30822438592079e-39,"Neutrophils","CLEC5A"
"63",1.14830436080946e-39,9.17766700977452,0.404,0.02,2.23414096439089e-35,"Neutrophils","KCNJ15"
"64",3.7179888975342e-33,6.2739094550638,0.957,0.372,7.23371919904253e-29,"Neutrophils","PTAFR"
"65",1.14077260311216e-32,9.21399418874567,0.277,0.009,2.21948717661502e-28,"Neutrophils","MGAM"
"66",1.8804127262917e-30,8.10750730487923,0.34,0.02,3.65853100027313e-26,"Neutrophils","SLC28A3"
"67",3.57324410226534e-30,5.77640404212012,0.915,0.368,6.95210372536745e-26,"Neutrophils","SDS"
"68",3.72199013362752e-29,4.37257141578615,1,0.83,7.2415040039857e-25,"Neutrophils","SRGN"
"69",6.54750951380976e-27,7.56027840090598,0.277,0.014,1.27388345100683e-22,"Neutrophils","FCN1"
"70",8.425257649455e-27,3.63774194463252,1,0.781,1.63921812827796e-22,"Neutrophils","PTPRJ"
"71",3.21858401627918e-24,3.12268750050061,0.957,0.461,6.26207706207277e-20,"Neutrophils","PLEK"
"72",2.06544537191162e-23,6.74284109487565,0.319,0.026,4.01853051559125e-19,"Neutrophils","SLC16A6"
"73",3.20643686561063e-23,4.68140484342509,0.957,0.784,6.23844356573205e-19,"Neutrophils","ANTXR2"
"74",9.37140925349258e-23,5.34647027631412,0.745,0.245,1.82330138435952e-18,"Neutrophils","MCTP2"
"75",5.68061915966221e-22,3.43523778283077,0.957,0.796,1.10522126370388e-17,"Neutrophils","AKIRIN2"
"76",7.04656296928462e-110,8.30744225310304,0.91,0.055,1.37097929130402e-105,"T/NK Cells","CD52"
"77",1.55819237811136e-109,7.54324494815888,0.821,0.034,3.03161909085347e-105,"T/NK Cells","PTPRCAP"
"78",2.8115328134211e-108,7.77662500388324,0.91,0.058,5.47011824179208e-104,"T/NK Cells","SKAP1"
"79",1.91218871592197e-92,6.79123623878606,0.795,0.048,3.72035436569778e-88,"T/NK Cells","STAT4"
"80",4.07400284705457e-82,8.01894196880568,0.551,0.012,7.92637993922938e-78,"T/NK Cells","ITK"
"81",2.58000829302048e-81,8.79395160002837,0.564,0.014,5.01966413490065e-77,"T/NK Cells","CD3G"
"82",8.20845204204492e-76,7.73699546971021,0.551,0.017,1.59703642930026e-71,"T/NK Cells","IL2RB"
"83",1.96384602049639e-75,7.31872471572059,0.526,0.013,3.82085881747778e-71,"T/NK Cells","SCML4"
"84",4.85150993153485e-67,7.33404542313437,0.487,0.014,9.4390977227942e-63,"T/NK Cells","KLRK1"
"85",8.58238713291466e-66,6.39511052046404,0.513,0.019,1.66978924057988e-61,"T/NK Cells","CD69"
"86",8.67824553353065e-65,6.70773219554297,0.449,0.01,1.68843945100372e-60,"T/NK Cells","SEPTIN1"
"87",2.30891906828995e-63,6.31626966038733,0.526,0.024,4.49223293926494e-59,"T/NK Cells","P2RY10"
"88",1.63274095859015e-58,6.85981169961964,0.513,0.028,3.176660809033e-54,"T/NK Cells","GPR171"
"89",3.45622508104633e-57,5.84881410638231,0.449,0.017,6.72443151768374e-53,"T/NK Cells","SIT1"
"90",6.49669183085991e-57,8.22167521790605,0.385,0.008,1.2639963626121e-52,"T/NK Cells","PVRIG"
