"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",22,-0.752441960184069,-3.16439534627264,1.74260436533765e-09,3.59879585051961e-07,2.85883291423733e-07,281,"tags=78%, list=15%, signal=67%","RPS14/RPL32/RPL24/RPL34/RPSA/RPL7A/RPL30/RPS3A/RPL30/RPS27A/RPL36/RPL31/RPL23A/RPL19/UBA52/RPL14/RPS28/RPLP1"
"KEGG_RIBOSOME","KEGG_RIBOSOME",23,-0.739412117395147,-3.13698209547915,1.91935778694379e-09,3.59879585051961e-07,2.85883291423733e-07,270,"tags=75%, list=14%, signal=65%","RPL32/RPL24/RPL34/RPSA/RPL7A/RPL30/RPS3A/RPL30/RPS27A/RPL36/RPL36AL/RPL31/RPL23A/RPL19/UBA52/RPL14/RPS28/RPLP1"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",25,-0.719269648701563,-3.1404272040129,4.7328122190572e-09,5.9160152738215e-07,4.69959950173048e-07,281,"tags=74%, list=15%, signal=64%","RPS14/RPL32/RPL24/EEF1A1/RPL34/RPSA/RPL7A/RPL30/RPS3A/RPL30/RPS27A/RPL36/RPL36AL/RPL31/RPL23A/RPL19/UBA52/RPL14/RPS28/RPLP1"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",30,-0.638242831079249,-2.90622122569111,9.76157675113898e-09,9.1514782041928e-07,7.2698058436114e-07,281,"tags=68%, list=15%, signal=59%","RPS14/RPL32/RPL24/RPL34/RPSA/SSR2/RPL7A/RPL30/RPS3A/RPL30/RPS27A/RPL36/RPL36AL/RPL31/SEC11A/RPL23A/RPL19/UBA52/RPL14/RPS28/RPLP1"
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",46,-0.49002089743042,-2.4903325918795,5.10811276566451e-08,3.44099151601298e-06,2.73347536570294e-06,281,"tags=57%, list=15%, signal=50%","RPS14/RPL32/PSMB4/RPL24/PSME2/PSMA3/PSMB2/RPL34/RPSA/EIF4G1/UBC/RPL7A/RPL30/RPS3A/RPL30/RPS27A/RPL36/RPL36AL/PSMC3/RPL31/UBB/RPL23A/RPL19/UBA52/RPL14/RPS28/RPLP1"
"REACTOME_INNATE_IMMUNE_SYSTEM","REACTOME_INNATE_IMMUNE_SYSTEM",279,0.534592476160417,1.39962524208651,5.50558642562077e-08,3.44099151601298e-06,2.73347536570294e-06,549,"tags=45%, list=29%, signal=37%","FCGR1A/PTAFR/TLR7/PLAUR/CLEC6A/CD14/IL1B/CYBB/CLEC4A/ITGAM/HCK/ADA2/CLEC5A/PLAU/C1QA/NLRP3/C1QB/TLR2/ALOX5/C5AR1/BTK/CFD/MYO10/CLEC7A/LY86/LYN/NFAM1/HMOX1/CD68/RAB31/CTSS/NCKAP1L/PYCARD/SYK/NCF1/CHI3L1/LAT2/DUSP6/CTSB/NCF4/CTSZ/PAK1/NCF2/NFKBIA/STING1/VAV3/PTPN6/RPS6KA2/CTSC/ITGB2/VAV1/CD44/MEF2C/NFKB1/CYBA/UNC93B1/FABP5/IQGAP2/TNFAIP3/IRAK2/GM2A/RIPK2/CD53/LY96/PELI1/ABL1/GAA/CARD9/COTL1/RPS6KA5/PDXK/BIN2/CTSH/MAPKAPK2/WAS/PIK3R1/ITGAV/ATP6V0A1/CSTB/RHOG/LCP2/ATP6V1E1/ELMO1/DOCK2/MAPK14/CST3/ADGRE5/STK10/ATP6V1B2/ASAH1/MYO5A/PRCP/DBNL/FTH1/PLD1/TCIRG1/CTSA/TLR4/ARSB/TRAF3/PIK3CB/ATP6V1C1/GMFG/AP2A2/ATP6AP2/FBXW11/ARPC5/PSEN1/SDCBP/DPP7/BCL2/RAB7A/TBK1/TNFRSF1B/CYSTM1/RAB10/ARPC1B/CNN2/CMTM6/TEC/NFKBIB/MAN2B1/ACTR3/MEF2A/PTPRC"
"REACTOME_MRNA_SPLICING","REACTOME_MRNA_SPLICING",60,-0.40567066521265,-2.20300813721182,9.18121548722366e-08,4.91850829672696e-06,3.90719395922451e-06,1151,"tags=95%, list=61%, signal=38%","SRSF7/C9orf78/PRPF40A/SRSF9/GTF2F2/POLR2A/SNRNP200/DHX9/TRA2B/SRSF2/U2SURP/RBM39/YBX1/PTBP1/SDE2/DDX5/ALYREF/DHX15/SNRPB2/U2AF2/SF3B1/HNRNPA3/HNRNPM/SNRPB/MAGOH/HNRNPA2B1/CDC5L/UPF3B/PCBP2/PNN/MFAP1/RBM25/POLR2E/SF3B2/RNPS1/DDX39B/TCERG1/SRRM1/HNRNPU/LSM5/SLU7/RBM8A/LUC7L3/HNRNPL/SRSF1/CCAR1/PPIL4/POLR2F/SF3B6/CWF19L2/FAM32A/IK/SNRPD3/SNU13/UBL5/LSM7/SNRPD2"
"WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY","WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY",25,0.794216453124947,1.85068103818385,1.67646011990989e-07,7.8584068120776e-06,6.2426080780855e-06,215,"tags=72%, list=11%, signal=65%","FCGR1A/CYBB/ITGAM/HCK/C1QA/C1QB/LYN/NCKAP1L/SYK/NCF1/NCF4/NCF2/VAV3/PTPN6/PIK3CG/ITGB2/VAV1/CYBA"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",34,-0.517774956287547,-2.44955520771232,7.74774002298314e-07,3.22822500957631e-05,2.56445663918623e-05,289,"tags=63%, list=15%, signal=54%","EIF5B/RPS14/RPL32/RPL24/RPL34/EIF3G/RPSA/EIF4G1/RPL7A/RPL30/RPS3A/RPL30/RPS27A/RPL36/RPL36AL/RPL31/RPL23A/RPL19/UBA52/RPL14/RPS28/RPLP1"
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",32,-0.520933540745408,-2.43244497746815,9.55273637264949e-07,3.58227613974356e-05,2.84570988785243e-05,281,"tags=61%, list=15%, signal=53%","RPS14/RPL32/RPL24/RPL34/RPSA/EIF4G1/RPL7A/RPL30/RPS3A/RPL30/RPS27A/RPL36/RPL36AL/RPL31/RPL23A/RPL19/UBA52/RPL14/RPS28/RPLP1"
"REACTOME_TRANSLATION","REACTOME_TRANSLATION",57,-0.340301915648193,-1.81716758615033,1.89508870047334e-05,0.000646052966070458,0.000513215408836322,324,"tags=53%, list=17%, signal=45%","AIMP1/CHCHD1/MRPL17/EIF5B/RPS14/RPL32/KARS1/RPL24/EEF1A1/RPL34/EIF3G/RPSA/SSR2/EIF4G1/RPL7A/RPL30/RPS3A/RPL30/RPS27A/RPL36/MRPS26/RPL36AL/RPL31/SEC11A/RPL23A/RPL19/UBA52/RPL14/NARS1/RPS28/RPLP1"
